"basin","quantile","Slope","Intercept","RSquared","SlopeCI_2.5","SlopeCI_97.5","InterceptCI_2.5","InterceptCI_97.5","RSquaredCI_2.5","RSquaredCI_97.5"
"willamette","Q10",1.04813405255453,-0.729396691647487,0.581499671079836,0.794195695398043,1.27980117090818,-1.08962346010883,-0.425912220032003,0.364874761731882,0.746815238521064
"willamette","Q20",1.31338609325916,3.25529786541225,0.584889916495089,0.971787716671377,1.65611361805453,2.44236596126636,4.04319443231757,0.379601151146454,0.746887987942554
"willamette","Q30",1.1221335026044,7.03011030605476,0.753147843321669,0.934975555971366,1.29107552015778,6.62885962163658,7.45628666119362,0.610549000433717,0.849007968493784
"willamette","Q40",1.02259419778792,8.87359408170972,0.89827143934413,0.924519428517163,1.13981799061144,8.63694704658238,9.0730260726439,0.824239516800524,0.946154122652729
"willamette","Q50",1.10998237903054,8.96056872827682,0.881893484079465,0.991901848668324,1.21544555286663,8.74848430828041,9.19492468995552,0.775377927469065,0.936819174107775
"willamette","Q60",1.12183283276585,9.13676367214761,0.902583622196974,1.02104541046449,1.22419179383846,8.93045368800708,9.30780894376247,0.8282693738397,0.943414244145114
"willamette","Q70",1.13852822457845,9.29019491903607,0.928425914759869,1.05557769073962,1.22822206236205,9.10029525361566,9.48692782287628,0.870721061514234,0.959317847927509
"willamette","Q80",1.15485579218078,9.55357068070628,0.952560778683696,1.09069671318637,1.23660814012718,9.30442973940938,9.7692992453427,0.913802305463533,0.973270310418723
"willamette","Q90",1.26919240055654,9.63866218546016,0.95647034317858,1.17121465781522,1.36114379892317,9.20035135697987,10.0643429496156,0.927144630336622,0.97677569882588
"willamette","Q100",1.25867213763662,10.2153571056362,0.983575554395348,1.21914350581857,1.30381589212201,9.90178125423468,10.4981680963736,0.97306878098454,0.989794929337883
"yakima","Q10",1.27779200043048,0.292076581631285,0.699040746232388,1.01532205033905,1.52378126899048,-0.147141801017119,0.74957969908701,0.493326031646356,0.834597361916073
"yakima","Q20",1.00990189359201,2.91647184463553,0.802944747186097,0.878787272789729,1.167658688037,2.40388321253578,3.39131981988421,0.685973085182725,0.895167517029859
"yakima","Q30",0.909775960675946,6.90288496952147,0.698737505158032,0.749349521239463,1.0643667972247,6.57881407059038,7.2405658881655,0.514451603577558,0.826672660233438
"yakima","Q40",0.866389663561574,8.42238019289286,0.823626140136982,0.75825170182664,0.972999787200126,8.20350569940676,8.636549413831,0.711804648552603,0.895881567777782
"yakima","Q50",0.858594639443098,9.16772005728558,0.938369854780813,0.794909084191727,0.932456056640881,9.00268033474311,9.31211061918809,0.882374737919853,0.965652681276468
"yakima","Q60",0.882009924478485,9.43316459910539,0.96248707874209,0.837313421031525,0.94023952070589,9.28572181774875,9.59427906697586,0.941341278506665,0.976619694930882
"yakima","Q70",1.02244459862551,9.51429183716512,0.954938807083662,0.955955213633107,1.10081687333832,9.32785150961847,9.71256354804351,0.923674118222726,0.973418340956023
"yakima","Q80",1.08223852083204,9.67416393144127,0.970072247580098,1.02205296280809,1.13146589479101,9.47908905949035,9.91947556865162,0.95079413190426,0.981744790125882
"yakima","Q90",1.16191777793596,10.034429409512,0.976677857750675,1.1299762353783,1.20154376690788,9.80572797723445,10.2918595008541,0.955429152096601,0.98742210490265
"yakima","Q100",1.10482884263712,11.0832027481837,0.942565335449163,1.00333175389981,1.1990288116468,10.3735306564584,11.9251706568996,0.916378904497907,0.960422930991007
