comid,tocomid,water,snow,developed_op,developed_lw,developed_md,developed_hg,barren,forest_dcd,forest_evg,forest_mxd,shrub,grass,pasture,crops,wetland_wood,wetland_herb,basin,forest_scp,grass_scp,shrub_scp,water_scp,human_scp,barren_scp,ht,hmax,hrel,simpson_d
24128027,24125319,0,0,0.07,2.83,2.39,1.79,0,0,50.88,0,23.82,18.23,0,0,0,0,yakima,50.88,18.23,23.82,0,7.08,0,1.707104253,2.584962501,0.660398073,0.64613739
24128029,24128119,0,0,0.12,4.47,2.03,1.79,0,0,44.39,0,45.35,1.27,0,0,0.58,0,yakima,44.39,1.27,45.35,0.58,8.41,0,1.46095338,2.584962501,0.565173916,0.5900228
24128031,24128119,0,0,0,2.86,1.55,1.18,0,0,43.22,0,50.49,0.56,0,0,0.13,0,yakima,43.22,0.56,50.49,0.13,5.59,0,1.307797567,2.584962501,0.50592516,0.55512129
24128033,24128049,0,0,0,0,0,0,0,0,14.03,0,84.62,0.74,0,0,0.37,0.25,yakima,14.03,0.74,84.62,0.62,0,0,0.699323583,2.584962501,0.270535291,0.26416827
24128035,24125271,0,0,0,1.82,2.13,4.49,0,0,21.41,0,68.31,1.85,0,0,0,0,yakima,21.41,1.85,68.31,0,8.44,0,1.259204425,2.584962501,0.487126767,0.48006997
24128037,24128057,0,0,0,0,0.12,0.12,0,0,12.24,0,87.52,0,0,0,0,0,yakima,12.24,0,87.52,0,0.24,0,0.560112723,2.584962501,0.216681179,0.21903744
24128039,24128057,0,0,0,0.42,0.55,1.2,0,0,24.99,0,72.84,0,0,0,0,0,yakima,24.99,0,72.84,0,2.17,0,0.952884358,2.584962501,0.368625989,0.40651254
24128041,24128153,0,0,0,2.32,1.69,1.05,0,0,45.59,0,48.71,0.41,0,0,0.22,0,yakima,45.59,0.41,48.71,0.22,5.06,0,1.291838915,2.584962501,0.499751511,0.55230677
24128043,24128047,0,0,0,0.15,0.63,0.08,0,0,21.53,0,76.72,0.05,0,0,0.33,0.51,yakima,21.53,0.05,76.72,0.84,0.86,0,0.892747012,2.584962501,0.345361688,0.3649053
24128045,24128189,0,0,0.04,1.84,2.14,1.7,0,0,43.8,0,37.47,12.79,0,0,0.22,0,yakima,43.8,12.79,37.47,0.22,5.72,0,1.687306719,2.584962501,0.652739341,0.64812082
24128047,24128055,0,0,0,0.13,0.53,0.07,0,0,22.15,0,76.37,0.04,0,0,0.28,0.43,yakima,22.15,0.04,76.37,0.71,0.73,0,0.885707644,2.584962501,0.342638489,0.3675962
24128049,24128055,0,0,0,0,0,0,0,0,15.33,0,83.4,0.69,0,0,0.35,0.23,yakima,15.33,0.69,83.4,0.58,0,0,0.725801294,2.584962501,0.280778268,0.28086186
24128051,24125317,0,0,0,0.84,3.46,3.94,0,0,50.42,0,28.2,13.14,0,0,0,0,yakima,50.42,13.14,28.2,0,8.24,0,1.694587161,2.584962501,0.6555558,0.64220264
24128053,24125513,0,0,0.09,2.5,1.57,0.42,0.21,0,6.29,0,83.62,5.31,0,0,0,0,yakima,6.29,5.31,83.62,0,4.58,0.21,0.914188663,2.584962501,0.353656451,0.29189149
24128055,24128085,0,0,0,0.09,0.37,0.05,0,0,20.53,0,78.06,0.23,0,0,0.3,0.37,yakima,20.53,0.23,78.06,0.67,0.51,0,0.855268729,2.584962501,0.330863109,0.34843936
24128057,24128085,0,0,0,0.32,0.58,1.07,0,0,19.11,0,78.91,0,0,0,0,0,yakima,19.11,0,78.91,0,1.97,0,0.837474635,2.584962501,0.323979414,0.34041389
24128059,24125571,0.06,0,4.92,2.72,0.96,0.12,0,0,48.63,0,38.81,3.66,0,0,0.12,0,yakima,48.63,3.66,38.81,0.18,8.72,0,1.533712576,2.584962501,0.593321016,0.60394406
24128061,24128189,0,0,0.18,1.67,1.47,1.17,1.72,0.12,65.36,0,22.18,6.06,0,0,0.07,0,yakima,65.48,6.06,22.18,0.07,4.49,1.72,1.436173866,2.584962501,0.555587892,0.51605702
24128063,24128059,0,0,4.58,2.5,1.01,0.13,0,0,49.57,0,38.26,3.82,0,0,0.13,0,yakima,49.57,3.82,38.26,0.13,8.22,0,1.520899427,2.584962501,0.588364213,0.59968098
24128065,24128063,0,0,4.62,2.51,1.01,0.13,0,0,49.58,0,38.16,3.86,0,0,0.13,0,yakima,49.58,3.86,38.16,0.13,8.27,0,1.523293952,2.584962501,0.589290542,0.60023286
24128067,24128065,0,0,4.65,2.52,1.02,0.13,0,0,49.72,0,37.95,3.88,0,0,0.13,0,yakima,49.72,3.88,37.95,0.13,8.32,0,1.524515182,2.584962501,0.589762978,0.60034254
24128069,24128149,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,yakima,0,0,100,0,0,0,0,2.584962501,0,0
24128071,24128149,0,0,0,0.1,0,0,0,0,2,0,97.9,0,0,0,0,0,yakima,2,0,97.9,0,0.1,0,0.152819139,2.584962501,0.059118513,0.041158
24128073,24126683,0,0,0.01,1.85,0.99,0.06,0,0.21,11.83,0,85.05,0,0,0,0,0,yakima,12.04,0,85.05,0,2.91,0,0.714896458,2.584962501,0.276559702,0.26130678
24128075,24128089,0,0,0.08,3.12,0.7,0.23,0,0,16.17,0,79.42,0.28,0,0,0,0,yakima,16.17,0.28,79.42,0,4.13,0,0.902689105,2.584962501,0.349207814,0.34138594
24128077,24128089,0,0,0.27,3.93,1.14,0.05,0,0,45.14,0,49.21,0.11,0,0,0,0.14,yakima,45.14,0.11,49.21,0.14,5.39,0,1.272576136,2.584962501,0.492299651,0.55116725
24128079,24126287,0,0,2.25,1.17,0.02,0,2.89,0,56.57,0,8.34,28.47,0,0,0.29,0,yakima,56.57,28.47,8.34,0.29,3.44,2.89,1.619287556,2.584962501,0.626425937,0.58994688
24128081,24128083,0,0,0,0.18,0.87,2.08,0,0,28.7,0,68.04,0,0,0,0,0.13,yakima,28.7,0,68.04,0.13,3.13,0,1.06373585,2.584962501,0.4115092,0.45370546
24128083,24128235,0,0,0,0.15,0.74,1.76,0,0,29.32,0,67.92,0,0,0,0,0.11,yakima,29.32,0,67.92,0.11,2.65,0,1.047646945,2.584962501,0.405285162,0.45201766
24128085,24128235,0,0,0.02,0.22,0.43,0.31,0,0,20.54,0,77.84,0.17,0,0,0.21,0.26,yakima,20.54,0.17,77.84,0.47,0.98,0,0.867737283,2.584962501,0.335686604,0.35178326
24128087,24126227,0,0,0.86,0.39,0,0,1.03,0,84.57,0,6.08,6.3,0,0,0.77,0,yakima,84.57,6.3,6.08,0.77,1.25,1.03,0.902447543,2.584962501,0.349114365,0.27680424
24128089,24128103,0,0,0.17,3.54,0.94,0.13,0,0,30.37,0,64.06,0.71,0,0,0,0.07,yakima,30.37,0.71,64.06,0.07,4.78,0,1.20141685,2.584962501,0.464771481,0.49506221
