comid,tocomid,water,snow,developed_op,developed_lw,developed_md,developed_hg,barren,forest_dcd,forest_evg,forest_mxd,shrub,grass,pasture,crops,wetland_wood,wetland_herb,basin,forest_scp,grass_scp,shrub_scp,water_scp,human_scp,barren_scp,ht,hmax,hrel,simpson_d
23099408,24964630,0.57,0.05,2.51,1.93,0.65,0.12,0.72,0.09,29.83,0.03,41.19,5.87,3.06,11.85,1.05,0.49,yakima,29.95,5.87,41.19,2.16,20.12,0.72,1.924279721,2.584962501,0.744413012,0.69619261
23099410,23099408,0.57,0.05,2.51,1.93,0.65,0.12,0.72,0.09,29.83,0.03,41.19,5.87,3.06,11.85,1.05,0.49,yakima,29.95,5.87,41.19,2.16,20.12,0.72,1.924279721,2.584962501,0.744413012,0.69619261
23099412,23099410,0.57,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.16,0.03,41.31,5.92,3.04,11.49,1.06,0.49,yakima,30.28,5.92,41.31,2.17,19.59,0.73,1.922662809,2.584962501,0.743787505,0.69525492
23099414,23099412,0.57,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,yakima,30.29,5.92,41.31,2.17,19.59,0.73,1.922642885,2.584962501,0.743779797,0.69519435
23099416,23099414,0.56,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,yakima,30.29,5.92,41.31,2.16,19.59,0.73,1.922282193,2.584962501,0.743640263,0.69519868
23099418,23099416,0.56,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,yakima,30.29,5.92,41.31,2.16,19.59,0.73,1.922282193,2.584962501,0.743640263,0.69519868
23099420,23099418,0.56,0.05,2.47,1.86,0.61,0.12,0.73,0.09,30.17,0.03,41.31,5.92,3.04,11.49,1.06,0.49,yakima,30.29,5.92,41.31,2.16,19.59,0.73,1.922282193,2.584962501,0.743640263,0.69519868
23099422,23099420,0.56,0.05,2.47,1.86,0.6,0.12,0.73,0.09,30.18,0.03,41.32,5.93,3.04,11.49,1.06,0.49,yakima,30.3,5.93,41.32,2.16,19.58,0.73,1.922370045,2.584962501,0.743674248,0.69508278
23099424,23099422,0.56,0.05,2.47,1.86,0.6,0.12,0.73,0.09,30.18,0.03,41.32,5.93,3.04,11.49,1.06,0.49,yakima,30.3,5.93,41.32,2.16,19.58,0.73,1.922370045,2.584962501,0.743674248,0.69508278
23099426,23099424,0.56,0.05,2.46,1.85,0.6,0.12,0.73,0.09,30.19,0.03,41.32,5.93,3.04,11.49,1.06,0.49,yakima,30.31,5.93,41.32,2.16,19.56,0.73,1.922263851,2.584962501,0.743633167,0.69510045
23099428,23099426,0.56,0.05,2.46,1.84,0.59,0.12,0.73,0.09,30.2,0.03,41.32,5.93,3.04,11.49,1.06,0.49,yakima,30.32,5.93,41.32,2.16,19.54,0.73,1.922157308,2.584962501,0.743591951,0.69511802
23099430,23099428,0.56,0.05,2.46,1.84,0.59,0.12,0.73,0.09,30.2,0.03,41.32,5.93,3.04,11.49,1.06,0.49,yakima,30.32,5.93,41.32,2.16,19.54,0.73,1.922157308,2.584962501,0.743591951,0.69511802
23099432,23099430,0.56,0.05,2.46,1.84,0.59,0.12,0.73,0.09,30.21,0.03,41.32,5.93,3.04,11.49,1.06,0.49,yakima,30.33,5.93,41.32,2.16,19.54,0.73,1.922137244,2.584962501,0.743584189,0.69505737
23099434,23099432,0.56,0.05,2.45,1.82,0.58,0.12,0.73,0.09,30.24,0.03,41.34,5.94,3.04,11.48,1.06,0.49,yakima,30.36,5.94,41.34,2.16,19.49,0.73,1.921944967,2.584962501,0.743509806,0.69489326
23099436,23099434,0.56,0.05,2.45,1.82,0.58,0.12,0.73,0.09,30.24,0.03,41.34,5.94,3.04,11.48,1.06,0.49,yakima,30.36,5.94,41.34,2.16,19.49,0.73,1.921944967,2.584962501,0.743509806,0.69489326
23099438,23099436,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.27,0.03,41.34,5.94,3.04,11.47,1.06,0.49,yakima,30.39,5.94,41.34,2.16,19.44,0.73,1.921664517,2.584962501,0.743401313,0.69490566
23099440,23099438,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,yakima,30.4,5.95,41.34,2.16,19.42,0.73,1.921770816,2.584962501,0.743442435,0.6949107
23099442,23099440,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,yakima,30.4,5.95,41.34,2.16,19.42,0.73,1.921770816,2.584962501,0.743442435,0.6949107
23099444,23099442,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,yakima,30.4,5.95,41.34,2.16,19.42,0.73,1.921770816,2.584962501,0.743442435,0.6949107
23099446,23099444,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.28,0.03,41.34,5.95,3.04,11.45,1.06,0.49,yakima,30.4,5.95,41.34,2.16,19.42,0.73,1.921770816,2.584962501,0.743442435,0.6949107
23099448,23099446,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.31,0.03,41.35,5.95,3.04,11.42,1.06,0.49,yakima,30.43,5.95,41.35,2.16,19.39,0.73,1.921511587,2.584962501,0.743342152,0.69476195
23099450,23099448,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.31,0.03,41.35,5.95,3.04,11.42,1.06,0.49,yakima,30.43,5.95,41.35,2.16,19.39,0.73,1.921511587,2.584962501,0.743342152,0.69476195
23099452,23099450,0.56,0.05,2.44,1.79,0.57,0.12,0.73,0.09,30.31,0.03,41.35,5.95,3.04,11.42,1.06,0.49,yakima,30.43,5.95,41.35,2.16,19.38,0.73,1.921467032,2.584962501,0.743324915,0.69480072
23099454,23099452,0.56,0.05,2.44,1.79,0.57,0.12,0.73,0.09,30.31,0.03,41.35,5.95,3.04,11.42,1.06,0.49,yakima,30.43,5.95,41.35,2.16,19.38,0.73,1.921467032,2.584962501,0.743324915,0.69480072
23099456,23099454,0.56,0.05,2.44,1.79,0.57,0.12,0.73,0.09,30.32,0.03,41.35,5.95,3.04,11.41,1.06,0.49,yakima,30.44,5.95,41.35,2.16,19.37,0.73,1.921401879,2.584962501,0.743299711,0.6947786
23099458,23099456,0.56,0.05,2.44,1.79,0.57,0.12,0.73,0.09,30.32,0.03,41.36,5.95,3.04,11.4,1.06,0.49,yakima,30.44,5.95,41.36,2.16,19.36,0.73,1.921292418,2.584962501,0.743257365,0.69473462
23099460,23099458,0.56,0.05,2.44,1.8,0.57,0.12,0.73,0.09,30.36,0.03,41.38,5.96,3.05,11.31,1.06,0.49,yakima,30.48,5.96,41.38,2.16,19.29,0.73,1.920980044,2.584962501,0.743136523,0.6945841
23099462,23099460,0.55,0.05,2.44,1.8,0.57,0.12,0.74,0.09,30.44,0.03,41.29,5.98,3.06,11.31,1.06,0.49,yakima,30.56,5.98,41.29,2.15,19.3,0.74,1.922024083,2.584962501,0.743540412,0.69478018
23099464,23099462,0.55,0.05,2.44,1.8,0.57,0.12,0.74,0.09,30.44,0.03,41.28,5.98,3.06,11.31,1.06,0.49,yakima,30.56,5.98,41.28,2.15,19.3,0.74,1.922088626,2.584962501,0.743565381,0.69486275
23099466,23099464,0,0,0.68,0.6,0.31,0.02,0.06,0,0.02,0,73.24,21.73,0.04,3.3,0,0,yakima,0.02,21.73,73.24,0,4.95,0.06,1.031143709,2.584962501,0.398900839,0.4139203
23099468,23099466,0,0,0.68,0.6,0.31,0.02,0.06,0,0.02,0,73.24,21.73,0.04,3.3,0,0,yakima,0.02,21.73,73.24,0,4.95,0.06,1.031143709,2.584962501,0.398900839,0.4139203
23099470,23099468,0,0,0.69,0.61,0.32,0.02,0.06,0,0.02,0,73.08,21.81,0.04,3.36,0,0,yakima,0.02,21.81,73.08,0,5.04,0.06,1.035969444,2.584962501,0.400767688,0.41582319
23099472,23099470,0,0,0.69,0.61,0.32,0.02,0.06,0,0.02,0,72.68,22.15,0.04,3.41,0,0,yakima,0.02,22.15,72.68,0,5.09,0.06,1.04383061,2.584962501,0.403808802,0.4201083
23099474,23099472,0,0,0.69,0.61,0.32,0.02,0.06,0,0.02,0,72.55,22.25,0.04,3.44,0,0,yakima,0.02,22.25,72.55,0,5.12,0.06,1.046689405,2.584962501,0.404914735,0.42152166
23099484,947030099,0,0,0.8,0.69,0.37,0.03,0,0,0.02,0,73.25,20.21,0.05,4.57,0,0,yakima,0.02,20.21,73.25,0,6.51,0,1.05417215,2.584962501,0.407809456,0.41836129
23099486,23099484,0,0,0.82,0.6,0.29,0.03,0,0,0.02,0,73.43,19.86,0.06,4.89,0,0,yakima,0.02,19.86,73.43,0,6.69,0,1.053812516,2.584962501,0.40767033,0.4168859
23099488,23099486,0,0,1.11,1.34,0.7,0.06,0,0,0.01,0,69.03,22.75,0,4.97,0,0,yakima,0.01,22.75,69.03,0,8.18,0,1.151743733,2.584962501,0.445555296,0.46503841
23099492,947030102,0,0,0.47,0.12,0,0,0,0,0.02,0.01,74.58,17.27,0,7.53,0,0,yakima,0.03,17.27,74.58,0,8.12,0,1.050788166,2.584962501,0.406500352,0.40736354
23099494,23099492,0,0,0.43,0.09,0,0,0,0,0.02,0.01,76.19,15.38,0,7.88,0,0,yakima,0.03,15.38,76.19,0,8.4,0,1.01798976,2.584962501,0.393812197,0.38879786
23099496,23099494,0,0,0.41,0.08,0,0,0,0,0.02,0.01,77.86,14.52,0,7.1,0,0,yakima,0.03,14.52,77.86,0,7.59,0,0.97117089,2.584962501,0.375700185,0.3669381
23099498,23099496,0,0,0.29,0.07,0,0,0,0,0.03,0.01,83.29,10.31,0,5.99,0,0,yakima,0.04,10.31,83.29,0,6.35,0,0.81465429,2.584962501,0.315151299,0.29161557
23099500,23099498,0,0,0.29,0.07,0,0,0,0,0.03,0.01,84.33,9.15,0,6.12,0,0,yakima,0.04,9.15,84.33,0,6.48,0,0.783371703,2.584962501,0.303049542,0.27627366
23099502,23099500,0,0,0.13,0.04,0,0,0,0,0.02,0.01,91.73,6.49,0,1.58,0,0,yakima,0.03,6.49,91.73,0,1.75,0,0.47595694,2.584962501,0.184125278,0.15404236
23099504,23099502,0,0,0.06,0.01,0,0,0,0,0.03,0.01,93.66,5.84,0,0.4,0,0,yakima,0.04,5.84,93.66,0,0.47,0,0.368788882,2.584962501,0.142667014,0.11934763
23099506,23099504,0,0,0.02,0,0,0,0,0,0.03,0.01,94.68,5.27,0,0,0,0,yakima,0.04,5.27,94.68,0,0.02,0,0.305525947,2.584962501,0.11819357,0.10079227
23099508,23099506,0,0,0,0,0,0,0,0,0.03,0.01,95.02,4.94,0,0,0,0,yakima,0.04,4.94,95.02,0,0,0,0.288905518,2.584962501,0.111763911,0.09467944
23099510,23099508,0,0,0,0,0,0,0,0,0.03,0.01,94.92,5.04,0,0,0,0,yakima,0.04,5.04,94.92,0,0,0,0.293155903,2.584962501,0.113408184,0.09647904
23099512,23099510,0,0,0,0,0,0,0,0,0.03,0.01,95.79,4.17,0,0,0,0,yakima,0.04,4.17,95.79,0,0,0,0.25510052,2.584962501,0.098686352,0.08068854
23099514,23099512,0,0,0,0,0,0,0,0,0.03,0.01,95.8,4.16,0,0,0,0,yakima,0.04,4.16,95.8,0,0,0,0.254648164,2.584962501,0.098511357,0.08050528
23099516,23099514,0,0,0,0,0,0,0,0,0.03,0.01,95.72,4.24,0,0,0,0,yakima,0.04,4.24,95.72,0,0,0,0.258256951,2.584962501,0.099907427,0.08197024
23099518,23099516,0,0,0,0,0,0,0,0,0.04,0.01,97.82,2.13,0,0,0,0,yakima,0.05,2.13,97.82,0,0,0,0.154867271,2.584962501,0.059910839,0.04267082
23099520,23099518,0,0,0,0,0,0,0,0,0.04,0.02,97.75,2.2,0,0,0,0,yakima,0.06,2.2,97.75,0,0,0,0.159782393,2.584962501,0.061812267,0.04400939
23099522,23099520,0,0,0,0,0,0,0,0,0.04,0.02,97.69,2.26,0,0,0,0,yakima,0.06,2.26,97.69,0,0,0,0.163054215,2.584962501,0.063077981,0.04515527
23099524,23099522,0,0,0,0,0,0,0,0,0.05,0.02,97.54,2.4,0,0,0,0,yakima,0.07,2.4,97.54,0,0,0,0.171653228,2.584962501,0.066404533,0.04801835
23099526,23099524,0,0,0,0,0,0,0,0,0.05,0.01,97.44,2.5,0,0,0,0,yakima,0.06,2.5,97.44,0,0,0,0.175926017,2.584962501,0.068057473,0.04991928
23099528,23099526,0,0,0,0,0,0,0,0,0.05,0.01,97.33,2.61,0,0,0,0,yakima,0.06,2.61,97.33,0,0,0,0.181703674,2.584962501,0.070292576,0.05200554
23099530,23099528,0,0,0,0,0,0,0,0,0.06,0.01,97.34,2.59,0,0,0,0,yakima,0.07,2.59,97.34,0,0,0,0.181713371,2.584962501,0.070296328,0.05182114
23099532,23099530,0,0,0,0,0,0,0,0,0.07,0,97.2,2.73,0,0,0,0,yakima,0.07,2.73,97.2,0,0,0,0.188983099,2.584962501,0.073108643,0.05447022
23099534,23099532,0,0,0,0,0,0,0,0,0.07,0,97.11,2.82,0,0,0,0,yakima,0.07,2.82,97.11,0,0,0,0.193599912,2.584962501,0.074894669,0.05616906
23099536,23099534,0,0,0,0,0,0,0,0,0.08,0,97.04,2.89,0,0,0,0,yakima,0.08,2.89,97.04,0,0,0,0.198179592,2.584962501,0.076666331,0.05748799
23099538,23099536,0,0,0,0,0,0,0,0,0.09,0,98.14,1.78,0,0,0,0,yakima,0.09,1.78,98.14,0,0,0,0.139272592,2.584962501,0.053877993,0.03653639
23099540,23099538,0,0,0,0,0,0,0,0,0.13,0,98.38,1.49,0,0,0,0,yakima,0.13,1.49,98.38,0,0,0,0.126066077,2.584962501,0.048769016,0.03191386
23099542,23099540,0,0,0,0,0,0,0,0,0.14,0,98.25,1.61,0,0,0,0,yakima,0.14,1.61,98.25,0,0,0,0.134201858,2.584962501,0.051916366,0.03443258
23099544,23099542,0,0,0,0,0,0,0,0,0.13,0,98.97,0.9,0,0,0,0,yakima,0.13,0.9,98.97,0,0,0,0.088409155,2.584962501,0.03420133,0.02041122
23099546,23099544,0,0,0,0,0,0,0,0,0.24,0,98.9,0.85,0,0,0,0,yakima,0.24,0.85,98.9,0,0,0,0.09499961,2.584962501,0.036750866,0.02180099
23099548,23099464,0.59,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.31,0.03,39.32,5.01,3.24,11.8,1.13,0.52,yakima,32.43,5.01,39.32,2.29,20.18,0.78,1.918048177,2.584962501,0.742002322,0.69640477
23099550,23099548,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.34,0.03,39.28,5.01,3.24,11.8,1.13,0.52,yakima,32.46,5.01,39.28,2.28,20.18,0.78,1.917834819,2.584962501,0.741919784,0.69652907
23099552,23099550,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.34,0.03,39.28,5.01,3.24,11.8,1.13,0.52,yakima,32.46,5.01,39.28,2.28,20.18,0.78,1.917834819,2.584962501,0.741919784,0.69652907
23099554,23099552,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.34,0.03,39.28,5.01,3.24,11.8,1.13,0.52,yakima,32.46,5.01,39.28,2.28,20.18,0.78,1.917834819,2.584962501,0.741919784,0.69652907
23099558,947030104,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.38,0.03,39.23,4.99,3.25,11.82,1.13,0.52,yakima,32.5,4.99,39.23,2.28,20.21,0.78,1.917637217,2.584962501,0.741843341,0.69656061
23099560,23099558,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.39,0.03,39.23,4.99,3.25,11.82,1.13,0.52,yakima,32.51,4.99,39.23,2.28,20.21,0.78,1.917607573,2.584962501,0.741831873,0.6964956
23099562,23099560,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.39,0.03,39.23,4.99,3.25,11.82,1.13,0.52,yakima,32.51,4.99,39.23,2.28,20.21,0.78,1.917607573,2.584962501,0.741831873,0.6964956
23099564,23099562,0.58,0.05,2.55,1.87,0.59,0.13,0.78,0.09,32.4,0.03,39.22,4.98,3.25,11.82,1.13,0.52,yakima,32.52,4.98,39.22,2.28,20.21,0.78,1.91739376,2.584962501,0.741749159,0.69651899
23099566,23099564,0.58,0.05,2.54,1.87,0.59,0.13,0.78,0.09,32.43,0.03,39.2,4.98,3.25,11.82,1.13,0.52,yakima,32.55,4.98,39.2,2.28,20.2,0.78,1.917378876,2.584962501,0.741743401,0.69652103
23099568,23099566,0.58,0.05,2.53,1.87,0.59,0.13,0.78,0.09,32.44,0.03,39.2,4.98,3.25,11.82,1.13,0.52,yakima,32.56,4.98,39.2,2.28,20.19,0.78,1.917309981,2.584962501,0.741716749,0.69649631
23099570,23099568,0.58,0.05,2.53,1.87,0.59,0.13,0.78,0.09,32.46,0.03,39.21,4.98,3.26,11.8,1.13,0.53,yakima,32.58,4.98,39.21,2.29,20.18,0.78,1.917507838,2.584962501,0.74179329,0.69632342
23099572,23099570,0.58,0.05,2.53,1.87,0.59,0.13,0.78,0.09,32.47,0.03,39.2,4.98,3.26,11.79,1.13,0.53,yakima,32.59,4.98,39.2,2.29,20.17,0.78,1.917495316,2.584962501,0.741788446,0.69637701
23099576,947030106,0.58,0.05,2.51,1.85,0.59,0.13,0.79,0.09,32.69,0.03,39.21,5.01,3.21,11.61,1.14,0.53,yakima,32.81,5.01,39.21,2.3,19.9,0.79,1.917264965,2.584962501,0.741699334,0.69590556
23099578,23099576,0.58,0.05,2.51,1.85,0.59,0.13,0.79,0.09,32.69,0.03,39.21,5.01,3.21,11.61,1.14,0.53,yakima,32.81,5.01,39.21,2.3,19.9,0.79,1.917264965,2.584962501,0.741699334,0.69590556
23099580,23099578,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.71,0.03,39.2,5.01,3.21,11.61,1.14,0.53,yakima,32.83,5.01,39.2,2.3,19.88,0.79,1.917177083,2.584962501,0.741665337,0.69593225
23099582,23099580,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,yakima,32.84,5.01,39.21,2.3,19.86,0.79,1.917006592,2.584962501,0.741599381,0.69586765
23099584,23099582,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,yakima,32.84,5.01,39.21,2.3,19.86,0.79,1.917006592,2.584962501,0.741599381,0.69586765
23099586,23099584,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,yakima,32.84,5.01,39.21,2.3,19.86,0.79,1.917006592,2.584962501,0.741599381,0.69586765
23099588,23099586,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,yakima,32.84,5.01,39.21,2.3,19.86,0.79,1.917006592,2.584962501,0.741599381,0.69586765
23099590,23099588,0.58,0.05,2.5,1.84,0.59,0.13,0.79,0.09,32.72,0.03,39.21,5.01,3.2,11.6,1.14,0.53,yakima,32.84,5.01,39.21,2.3,19.86,0.79,1.917006592,2.584962501,0.741599381,0.69586765
23099594,947030107,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,32.99,0.03,39.16,4.97,3.2,11.38,1.15,0.53,yakima,33.11,4.97,39.16,2.31,19.64,0.79,1.914892788,2.584962501,0.740781651,0.69538316
23099596,23099594,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,32.99,0.03,39.16,4.97,3.2,11.38,1.15,0.53,yakima,33.11,4.97,39.16,2.31,19.64,0.79,1.914892788,2.584962501,0.740781651,0.69538316
23099598,23099596,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,33,0.03,39.15,4.97,3.2,11.39,1.15,0.53,yakima,33.12,4.97,39.15,2.31,19.65,0.79,1.914960232,2.584962501,0.740807741,0.69535595
23099600,23099598,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,33.01,0.03,39.14,4.97,3.2,11.39,1.15,0.53,yakima,33.13,4.97,39.14,2.31,19.65,0.79,1.914984325,2.584962501,0.740817062,0.69536799
23099602,23099600,0.58,0.05,2.49,1.85,0.59,0.13,0.79,0.09,33.02,0.03,39.13,4.97,3.2,11.39,1.15,0.53,yakima,33.14,4.97,39.13,2.31,19.65,0.79,1.915008338,2.584962501,0.740826351,0.69537999
23099606,947030110,0.58,0.05,2.49,1.85,0.59,0.13,0.8,0.09,33.08,0.03,39.14,4.98,3.18,11.32,1.15,0.53,yakima,33.2,4.98,39.14,2.31,19.56,0.8,1.915113688,2.584962501,0.740867106,0.69524503
23099608,23099606,0.58,0.05,2.49,1.85,0.59,0.13,0.8,0.09,33.08,0.03,39.14,4.98,3.18,11.32,1.15,0.53,yakima,33.2,4.98,39.14,2.31,19.56,0.8,1.915113688,2.584962501,0.740867106,0.69524503
23099610,23100534,0.07,0,4.86,1.48,0.18,0.03,0,0,0,0,42.66,6.59,4.77,39.23,0.03,0.1,yakima,0,6.59,42.66,0.2,50.55,0,1.298327261,2.584962501,0.502261546,0.55813538
23099612,23099610,0.07,0,4.8,1.45,0.18,0.03,0,0,0,0,42.75,6.61,4.76,39.22,0.03,0.1,yakima,0,6.61,42.75,0.2,50.44,0,1.299131944,2.584962501,0.502572839,0.55845118
23099614,23099612,0.07,0,4.8,1.45,0.18,0.03,0,0,0,0,42.77,6.61,4.75,39.23,0.03,0.1,yakima,0,6.61,42.77,0.2,50.44,0,1.299117282,2.584962501,0.502567168,0.55828014
23099616,23099614,0.07,0,4.62,1.41,0.17,0.03,0,0,0,0,43.37,6.65,4.61,38.99,0.02,0.06,yakima,0,6.65,43.37,0.15,49.83,0,1.297576547,2.584962501,0.50197113,0.55917692
23099618,23099616,0.01,0,2.14,0.68,0.07,0.01,0,0,0,0,52.25,7.36,3.49,33.97,0.02,0,yakima,0,7.36,52.25,0.03,40.36,0,1.298185184,2.584962501,0.502206583,0.55868374
23099620,23099618,0.01,0,1.91,0.62,0.05,0.01,0,0,0,0,52.94,7.39,3.23,33.82,0.02,0,yakima,0,7.39,52.94,0.03,39.64,0,1.296191914,2.584962501,0.501435481,0.55714138
23099622,23099620,0,0,1.89,0.58,0.04,0.01,0,0,0,0,53.75,7.51,3.17,33.04,0.01,0,yakima,0,7.51,53.75,0.01,38.73,0,1.293260552,2.584962501,0.500301475,0.55545244
23099624,23099622,0,0,1.47,0.31,0.01,0,0,0,0,0,58.92,8.86,1.83,28.6,0,0,yakima,0,8.86,58.92,0,32.22,0,1.28592009,2.584962501,0.497461797,0.54118056
23099626,23099624,0,0,1.34,0.23,0.01,0,0,0,0,0,60.67,9.03,1.32,27.39,0,0,yakima,0,9.03,60.67,0,30.29,0,1.272565558,2.584962501,0.492295558,0.53201261
23099628,23099626,0,0,1.32,0.22,0.01,0,0,0,0,0,61.65,9.19,0.95,26.66,0,0,yakima,0,9.19,61.65,0,29.16,0,1.265141431,2.584962501,0.489423514,0.52645158
23099630,23099628,0,0,1.28,0.11,0,0,0,0,0,0,64.55,9.4,0.25,24.41,0,0,yakima,0,9.4,64.55,0,26.05,0,1.233830671,2.584962501,0.477310859,0.5066335
23099632,23099630,0,0,1.31,0.03,0,0,0,0,0,0,65.47,9.42,0.13,23.64,0,0,yakima,0,9.42,65.47,0,25.11,0,1.221738631,2.584962501,0.472633019,0.49944306
23099634,23099632,0,0,1.15,0.02,0,0,0,0,0,0,55.33,16.38,0,27.11,0,0,yakima,0,16.38,55.33,0,28.28,0,1.415261108,2.584962501,0.547497733,0.58705283
23099636,23099634,0,0,1.13,0.02,0,0,0,0,0,0,52.03,16.63,0,30.19,0,0,yakima,0,16.63,52.03,0,31.34,0,1.445441768,2.584962501,0.559173206,0.60341266
23099638,23099636,0,0,1.26,0.02,0,0,0,0,0,0,49.74,15.36,0,33.62,0,0,yakima,0,15.36,49.74,0,34.9,0,1.446310288,2.584962501,0.559509195,0.60719928
23099640,23099638,0,0,1.4,0.02,0,0,0,0,0,0,46.45,14.7,0,37.43,0,0,yakima,0,14.7,46.45,0,38.85,0,1.45039059,2.584962501,0.561087671,0.6116985
23099642,23099640,0,0,1.67,0.03,0,0,0,0,0,0,43.8,10,0,44.51,0,0,yakima,0,10,43.8,0,46.21,0,1.368508421,2.584962501,0.529411324,0.58461959
23099644,23099642,0,0,1.8,0.03,0,0,0,0,0,0,41.32,8.67,0,48.17,0,0,yakima,0,8.67,41.32,0,50,0,1.332717663,2.584962501,0.515565569,0.57174887
23099646,23099644,0,0,1.83,0.03,0,0,0,0,0,0,40.98,8.26,0,48.91,0,0,yakima,0,8.26,40.98,0,50.77,0,1.321105447,2.584962501,0.511073351,0.56748191
23099648,23099646,0,0,1.85,0.03,0,0,0,0,0,0,40.65,8.19,0,49.29,0,0,yakima,0,8.19,40.65,0,51.17,0,1.318205831,2.584962501,0.509951626,0.56621325
23099650,23099648,0,0,1.88,0.03,0,0,0,0,0,0,39.78,8.07,0,50.24,0,0,yakima,0,8.07,39.78,0,52.15,0,1.311897613,2.584962501,0.507511274,0.56328042
23099652,23099650,0,0,1.62,0.06,0,0,0,0,0,0,26.52,0.88,0,70.93,0,0,yakima,0,0.88,26.52,0,72.61,0,0.903244153,2.584962501,0.349422536,0.40237031
23099654,23099652,0,0,2.31,0,0,0,0,0,0,0,1.54,0,0,96.15,0,0,yakima,0,0,1.54,0,98.46,0,0.114767802,2.584962501,0.044398246,0.03032568
23099656,23099608,0.58,0.05,2.47,1.86,0.6,0.13,0.81,0.09,33.62,0.03,39.05,5,3.15,10.84,1.17,0.54,yakima,33.74,5,39.05,2.34,19.05,0.81,1.913507441,2.584962501,0.740245725,0.69426757
23099658,23099656,0.58,0.05,2.43,1.84,0.6,0.13,0.81,0.1,33.73,0.03,39.07,5.01,3.14,10.77,1.17,0.54,yakima,33.86,5.01,39.07,2.34,18.91,0.81,1.912540833,2.584962501,0.73987179,0.69382156
23099660,23099658,0.58,0.05,2.43,1.84,0.6,0.13,0.81,0.1,33.73,0.03,39.07,5.01,3.14,10.77,1.17,0.54,yakima,33.86,5.01,39.07,2.34,18.91,0.81,1.912540833,2.584962501,0.73987179,0.69382156
23099662,23099660,0.58,0.05,2.43,1.84,0.6,0.13,0.81,0.1,33.73,0.03,39.07,5.01,3.14,10.77,1.17,0.54,yakima,33.86,5.01,39.07,2.34,18.91,0.81,1.912540833,2.584962501,0.73987179,0.69382156
23099664,23099662,0.58,0.05,2.42,1.84,0.6,0.13,0.81,0.1,33.77,0.03,39.11,5.01,3.13,10.72,1.18,0.54,yakima,33.9,5.01,39.11,2.35,18.84,0.81,1.912182685,2.584962501,0.73973324,0.69349736
23099666,23099664,0.57,0.05,2.36,1.82,0.59,0.13,0.82,0.1,33.89,0.03,39.12,5.02,3.13,10.64,1.18,0.54,yakima,34.02,5.02,39.12,2.34,18.67,0.82,1.911240671,2.584962501,0.739368819,0.69323479
23099668,23099666,0.57,0.05,2.34,1.82,0.59,0.13,0.82,0.1,34.02,0.03,39.12,5.03,3.14,10.51,1.18,0.54,yakima,34.15,5.03,39.12,2.34,18.53,0.82,1.910293398,2.584962501,0.739002364,0.69285933
23099670,23099668,0.56,0.05,2.34,1.82,0.59,0.13,0.82,0.1,34.03,0.03,39.12,5.03,3.14,10.51,1.18,0.54,yakima,34.16,5.03,39.12,2.33,18.53,0.82,1.909906299,2.584962501,0.738852613,0.69279569
