comid,logQ_m3_div_s,logRT_vertical_hz_s_fill,junk,doc,logq_hz_vertical_m_div_s_fill,logw_m,LengthKM,no3,do
23792421,-0.63925568,4.191929864,0.958262783,4.097051127,-4.596622068,0.439453215,1.987,3.090417619,9.63645862
23792423,-0.524250069,5.311228804,1.172830526,4.389699592,-5.683191248,0.548783747,2.229,2.583987687,7.892160006
23792425,-1.232404577,5.069938331,0.48187241,4.407835196,-5.768199208,0.196713967,3.237,1.504076859,9.414920885
23792427,-0.939001413,3.198953723,0.798471091,4.124771595,-3.698642236,0.358033192,0.085,2.33781712,8.886345269
23792429,-0.399074943,5.801680053,1.260195454,4.256734234,-6.23128792,0.593299544,0.326,2.167288633,10.06268593
23792431,-0.939643069,4.164838358,0.797786721,3.66635895,-4.663782498,0.357684479,0.595,2.337568335,8.890988881
23792433,-1.274259524,4.243327051,0.345883213,3.936962006,-4.984422314,0.127422232,0.68,2.853750685,10.2360257
23792435,-1.151058663,5.016009038,0.506667355,4.011647795,-5.758403718,0.209347946,2.648,2.500822205,8.536848011
23792437,-0.852210837,4.796232295,0.870222424,4.406754009,-5.323653965,0.39459326,3.74,1.514484133,7.973285011
23792439,-0.846214479,3.837323284,0.740354793,4.165598194,-4.356797115,0.328420699,1.812,3.045308066,9.674927593
23792441,-2.070833856,6.401011944,-0.431915669,4.295004626,-9.139783859,-0.268896265,0.546,1.91693745,8.379418745
23792443,-0.773584152,5.557414221,0.8842231,4.315707565,-6.102482871,0.401727144,2.065,1.973406929,8.413849677
23792445,-1.159321143,3.958225251,0.584365152,3.676414479,-4.58800074,0.248937968,1.936,2.380981404,8.882140614
23792447,-1.306408631,4.911820407,0.432809005,4.054625693,-8.13667714,0.171714272,1.502,1.20334142,7.868382353
23792449,-1.010261918,5.118288994,0.728978392,3.678549169,-8.99714756,0.322623985,0.71,2.301696869,9.656920022
23792451,-2.395666769,5.099452019,-0.757955761,4.248397607,-8.514260292,-0.435026253,0.324,1.350911582,8.025710025
23792453,-0.789194568,3.840453277,0.8730589,3.898223817,-4.292872613,0.396038554,1.692,2.437998928,10.2951901
23792455,-1.057434802,5.789878592,0.615865919,4.321233663,-6.638649976,0.264988822,4.338,1.97979401,7.868382353
23792457,-0.779169065,5.047138487,0.883559236,3.879823395,-8.096910013,0.40138888,0.301,2.446717822,10.27899852
23792459,-0.676557331,5.741064992,0.993061297,4.251762681,-6.349984048,0.457184399,0.793,2.039174543,10.17791076
23792461,-1.496416721,4.709282164,0.141481129,3.774656998,-5.579318282,0.023271495,1.977,2.36704808,9.61349947
23792463,-0.61441721,5.668557212,1.077047972,4.394493826,-6.184355851,0.499978846,1.666,2.66623985,7.978663689
23792465,-1.048955748,3.633140466,0.626247954,3.863871153,-4.2246188,0.270278869,1.034,2.499506713,9.687680498
23792467,-0.758656501,3.143256163,0.904558673,3.964815777,-3.586320027,0.412088902,0.345,2.464800697,10.93209974
23792469,-1.712264541,4.611775398,0.029789471,3.774379231,-9.365988731,-0.033639708,0.555,1.218367159,7.868382353
23792471,-1.577143501,6.392422922,0.076786034,4.410873825,-8.366531544,-0.009693149,2.197,2.536617417,7.868382353
23792473,-0.784003286,6.107632246,0.946840206,4.388393064,-7.111820506,0.433632972,2.676,1.302418999,8.536285306
23792475,-1.291477906,4.544420953,0.388651717,4.12480895,-5.268145422,0.149214432,2.708,1.456649134,9.312993768
23792477,-0.541574653,5.218206844,1.136286055,4.190301944,-5.655627378,0.530162931,3.348,2.62200781,8.235530258
